block,country,area,source_type,source_title,url,status,last_checked,notes
radioamateur,CH,Genève,HB9G,"USKA Genève HB9G - informations du club",https://www.hb9g.ch/info,active,2026-08-04,"439.100 MHz est utilisé pour le QSO de section; le relais VHF franco-suisse HB9G reste présenté par le club"
radioamateur,CH,Genève,HB9G,"USKA Genève HB9G - relais et balises",https://www.hb9g.ch/info/217-relais-et-balises-hb9g,active_with_old_table,2026-08-04,"Tableau daté du 2022-08-23: HB9G 145.725 et 439.100; recoupé avec l'activité 2026 du club"
radioamateur,CH,Vaud,HB9MM,"Radio Amateurs Vaudois HB9MM",https://hb9mm.com/,recheck_required,2026-08-04,"Site du club identifié mais fréquences non exposées dans la page indexée; validation directe encore requise"
radioamateur,CH,Vaud,HB9V,"HB9V - QSO radioamateur suisse",https://hb9v.ch/qso-radioamateur-suisse/,supporting_current_use,2026-08-04,"Mention d'un QSO quotidien sur le relais de La Praz à 438.850 MHz; recoupement avec l'exploitant HB9MM requis"
radioamateur,CH,"Vaud, Valais",USKA,"HB Radio 3/2014 - fréquences des sections",https://uska.ch/wp-content/uploads/hbradio/HBradio_14-03.pdf,stale_reference_only,2026-08-04,"Source historique pour HB9MM et HB9Y; aucune fréquence ne passe en production sans recoupement récent"
navigation,CH,"Léman et lacs suisses",OFCOM/BAKOM,"OFCOM - installations radio sur les lacs intérieurs",https://www.bakom.admin.ch/de/funkanlagen-auf-binnenseen,active,2026-08-04,"Une concession de radiocommunication mobile terrestre est nécessaire; les licences maritimes de station de navire ne sont pas valables"
navigation,CH,"Léman et lacs suisses",OFCOM/BAKOM,"OFCOM - radio et radar sur les eaux suisses",https://www.bakom.admin.ch/dam/de/sd-web/vtOWDP7MeCS9/funk_auf_schweizergewaessern.pdf,active_policy,2026-08-04,"Plan maritime 57 canaux non autorisé; AIS 161.975 et 162.025 interdit; canal 16 conditionnel avec concession et navigation au radar; réseaux 173 MHz concédés"
navigation,FR,Lac d'Annecy,Préfecture Haute-Savoie,"Naviguer sur le lac d'Annecy",https://www.haute-savoie.gouv.fr/index.php/Actions-de-l-Etat/Vos-loisirs/Lacs-et-cours-d-eau/Lac-d-Annecy/Naviguer-sur-le-lac-d-Annecy,official_rules_no_frequency_identified,2026-08-04,"Page mise à jour le 2026-07-15; RPP officiel référencé; aucune fréquence publique générale identifiée dans la page consultée"
navigation,FR,Lac du Bourget,Préfecture Savoie,"La navigation sur le lac du Bourget",https://www.savoie.gouv.fr/Actions-de-l-Etat/Paysages-environnement-risques-naturels-et-technologiques/Environnement/Eau-foret-biodiversite/Navigation/La-navigation-sur-le-lac-du-Bourget,official_rules_no_frequency_identified,2026-08-04,"RPPN 2026 en vigueur depuis le 2026-06-01; aucune fréquence publique générale identifiée dans la page consultée"
navigation,FR,Lac d'Aiguebelette,Source officielle,Source radio-navigation à identifier,,pending,2026-08-04,"Aucune mémoire avant identification et vérification d'une source officielle spécifique"
satellites,GLOBAL,FM amateur satellites,AMSAT,"AMSAT - Live FM Satellites",https://www.amsat.org/live-fm-satellites/,active_current_list,2026-08-04,"Tableau mis à jour le 2026-07-10; SO-50, AO-91 et AO-123 retenus pour le candidat interne"
satellites,GLOBAL,SO-50,AMSAT,"AMSAT - SO-50 satellite information",https://www.amsat.org/two-way-satellites/so-50-satellite-information/,active,2026-08-04,"Montée 145.850 CTCSS 67 Hz; activation 74.4 Hz; descente 436.795 MHz"
satellites,GLOBAL,AO-91,AMSAT,"AMSAT - AO-91 Fox-1B",https://www.amsat.org/two-way-satellites/ao-91/,active_limited,2026-08-04,"Montée 435.250 MHz; descente 145.960 MHz; fonctionnement limité aux passages éclairés à cause de la batterie"
satellites,GLOBAL,Status,AMSAT,"AMSAT - Live OSCAR Satellite Status",https://www.amsat.org/status/,dynamic_status,2026-08-04,"Contrôle opérationnel requis avant toute publication; le candidat interne reste non public"
aviation,FR,France,SIA AIRAC XML,"SIA - Données aéronautiques XML AIRAC 08/26 - CORRIGENDUM",https://www.sia.aviation-civile.gouv.fr/produits-numeriques-en-libre-disposition/les-bases-de-donnees-sia/donnees-aeronautiques-xml-airac-08-26.html,active_current_cycle,2026-08-08,"AIRAC 08/26 effectif du 2026-08-06 au 2026-09-02 inclus; export de la base aéronautique en vigueur"
aviation,FR,Annecy-Meythet,SIA eAIP,"SIA eAIP - Annecy-Meythet LFLP",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_11_JUN_2026/FRANCE/AIRAC-2026-06-11/html/eAIP/FR-AD-2.LFLP-fr-FR.html,verified_airac08_public,2026-08-08,"Dernière page effective publique recoupée avec le cycle courant; 118.200 TWR/AFIS/A-A"
aviation,FR,"Annemasse, Grenoble-Le Versoud",SIA eAIP,"SIA eAIP - ENR 5.5",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_11_JUN_2026/FRANCE/AIRAC-2026-06-11/html/eAIP/FR-ENR-5.5-fr-FR.html,verified_airac08_public,2026-08-08,"Annemasse 125.875 A/A; Le Versoud 121.000 TWR/A-A; Genève Information 126.350"
aviation,FR,Grenoble-Alpes-Isère,SIA eAIP,"SIA eAIP - Grenoble Alpes Isère LFLS",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_09_JUL_2026/FRANCE/AIRAC-2026-07-09/html/eAIP/FR-AD-2.LFLS-fr-FR.html,verified_airac08_public,2026-08-08,"121.930 GND; 119.300 TWR/VDF; 133.855 ATIS"
aviation,CH,"Alpes / bassin genevois",FOCA/BAZL,"OFAC - emploi de la fréquence de montagne",https://www.bazl.admin.ch/fr/foca-sand-2013-003-fr,supporting_current_use,2026-08-08,"Recoupement de Genève Information 126.350 MHz pour les opérations de montagne"
aviation,FR,Chambéry,SIA eAIP,"SIA eAIP - Chambéry Aix-les-Bains LFLB AD 2.18",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_09_JUL_2026/FRANCE/AIRAC-2026-07-09/html/eAIP/FR-AD-2.LFLB-fr-FR.html,verified_airac08_public,2026-08-08,"123.700 FIS/APP/A-A; 121.205 APP; 118.300 TWR; 127.100 ATIS"
aviation,FR,"Albertville, Megève",SIA VAC,"VAC courantes LFKA et LFHM référencées au catalogue SIA",,pending_primary_vac_frequency_extraction,2026-08-08,"Les documents primaires sont identifiés mais leur bloc radio n'a pas pu être extrait dans ce workflow; aucune fréquence secondaire n'est promue"
aviation,FR,Sallanches-Mont-Blanc,Légifrance,"Arrêté du 24 juillet 2020 - fermeture de l'aérodrome",https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000045725897,excluded_closed_aerodrome,2026-08-08,"LFHZ fermé à toute circulation aérienne depuis le 2020-09-01; ne plus rechercher de fréquence active"
aviation,CH,Switzerland,Skyguide/Skybriefing,"Skybriefing - current cycles",https://www.skybriefing.com/fr/web/guest/home,active_current_cycle,2026-08-08,"AIP AIRAC AMDT courant: 06 AUG 2026; NOTAM indispensables avant publication opérationnelle"
aviation,CH,Lausanne,Aéroport de Lausanne,"Aéroport de Lausanne - Fréquences",https://flight.lausanne-airport.ch/pilotes/frequences.html,verified_current_public,2026-08-08,"LSGL AD 123.205; APCH INFO 118.830"
aviation,CH,Sion,Aéroport de Sion,"Aéroport de Sion - Infos pilotes",https://www.sionaeroport.ch/infos-pilotes/,verified_current_public,2026-08-08,"GND 121.705; TWR 118.275; ATIS 130.630; APP 126.825; fréquences handling et aides de navigation exclues"
aviation,CH,Switzerland,OFAC/BAZL,"OFAC - espacement VHF 8.33 kHz",https://www.bazl.admin.ch/fr/infos-aereotechniques,supporting_channel_spacing,2026-08-08,"Espacement 8.33 kHz obligatoire depuis 2018 dans les espaces où l'emport radio VHF est requis"
aviation,CH,Genève,Skyguide/Skybriefing,Extraction eAIP détaillée à compléter,,pending_current_public_frequency_extraction,2026-08-08,"Genève Information 126.350 déjà couverte; fréquences aéroportuaires LSGG non promues sans source courante publique suffisamment précise"
